, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
count,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529854.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918.0,529918
unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BENIGN
freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529918
mean,10644.367111515367,10389271.161264572,10.390315105355922,11.517104533154185,532.4195498171415,17898.405674085425,190.89718786680203,20.27727874878755,50.74407841574989,57.45226871962436,406.073267939568,49.92438075324861,164.76933693042858,131.3096889002085,inf,inf,1069388.0577835315,1540446.2748407696,4323908.714135017,293691.4096973494,10098967.314854374,2115864.4938506023,1045617.0974659203,4174560.443427096,1466087.650043969,9134728.468721576,1817322.4793752653,809394.9599629454,3372631.544365355,1245436.8390600055,0.06413822515936428,0.0,0.0,0.0,-13203.509307100343,-3055.5560747134464,60230.15219635737,6009.861410771859,19.652797225231073,447.30852131839265,102.62441283224733,135.20190526566734,73898.34185427072,0.02294694650870512,0.06413822515936428,0.0001358700780120698,0.24862714608675304,0.30650025098222744,0.11999214972882596,0.0,0.00013775716242890408,0.6389026226699225,116.61373062497253,50.74407841574989,164.76933693042858,-13203.509307100343,0.0,0.0,0.0,0.0,0.0,0.0,10.390315105355922,532.4195498171415,11.517104533154185,17898.405674085425,9079.723966726928,3055.8755675406383,7.412509105182311,-3614.576106114531,68434.81562392224,43219.29953038628,145390.66175710203,43803.68815741303,3463917.939009176,202440.76221246368,3620657.4861525744,3274066.3248464856,
std,21390.21347543368,28751954.380539283,892.4127910937714,1173.318787928069,6228.642389821857,2675469.5460472046,448.8337535672504,36.2757933089074,91.96471257067014,146.51808103180727,785.0380886009518,74.80430768539995,276.9877427788654,275.8482322261344,,,5113239.353690637,6057313.346111313,14027503.170407502,3883156.394156023,28581673.7708064,10245471.13667904,3911767.0462302696,13971957.068662295,10029215.858981363,27688209.79114835,9714902.35974629,3598336.370536414,12902128.100362502,9456426.938371997,0.24499923776270874,0.0,0.0,0.0,3609255.6911458354,620991.4189372918,228973.7488790563,35396.93978994522,24.999796439318416,840.4359575931721,160.2146636938937,235.83657821539953,209922.41505974616,0.14973451994736933,0.24499923776270874,0.011655551196658384,0.4322175850721492,0.46104039762846905,0.32495266270260437,0.0,0.011736202337944647,0.5526892201876858,166.16665875946953,91.96471257067014,276.9877427788654,3609255.6911458354,0.0,0.0,0.0,0.0,0.0,0.0,892.4127910937714,6228.642389821857,1173.318787928069,2675469.5460472046,18175.30523670528,10137.092146731913,851.7623509055294,552632.7678354273,587232.2106178865,397145.5048546447,1028605.837846531,499367.728296769,12970567.220420979,2170148.6722496487,13406489.22147745,12732155.045367507,
min,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12000000.0,-2000000.0,-1.0,0.0,-1.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1929349973.0,-167770490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1929349973.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-83885313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25%,53.0,176.0,2.0,1.0,18.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,170.5497520921,19.312148294175,68.0,0.0,150.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,9.7108355933,0.24979407795,0.0,6.0,6.0,2.19089023,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,1.0,0.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50%,80.0,31303.0,2.0,2.0,68.0,144.0,40.0,6.0,38.0,0.0,91.0,6.0,81.0,0.0,5567.65958745595,115.24507071299999,10783.9,121.820906799,30899.0,4.0,4.0,4.0,0.0,4.0,3.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,64.0,40.0,63.202136248,28.31003260435,6.0,94.0,60.0,28.4815729903,811.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.75,38.0,81.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,2.0,144.0,115.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
75%,443.0,355744.75,4.0,3.0,187.0,392.0,83.0,40.0,53.0,26.1629509039,212.0,94.0,164.0,17.6776695297,240000.0,21164.0211640212,86985.0,54031.90232245515,204816.25,82.0,261537.25,40828.97916666665,21064.976257286176,105485.75,49.0,63969.75,12521.0625,396.45865952590003,36706.0,4.0,0.0,0.0,0.0,0.0,108.0,80.0,10989.010989011,4807.6923076923,40.0,250.0,99.2,112.0059522228,12545.3333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,126.5,53.0,164.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,187.0,3.0,392.0,8192.0,252.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
