,id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
count,82332.0,82332.0,82332,82332,82332,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332.0,82332,82332.0
unique,,,131,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
top,,,tcp,-,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,
freq,,,43095,47153,39339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000,
mean,41166.5,1.0067561463464996,,,,18.666472331535733,17.54593596657436,7993.908164504688,13233.78556332896,82410.88673910811,180.96766749259098,95.71300344944858,64549016.91405929,630546.9589998035,4.753692367487733,6.308555604139339,755.3943010848151,121.70128382695671,6363.075099675206,535.1804302089224,133.45908030899287,1084641551.1152892,1073464670.8803867,128.28662002623525,0.0559250444298693,0.02925592920128261,0.0266691152285867,139.52860370208424,116.2750692318904,0.09427683039401448,1595.3718845649323,9.54660399358694,1.3692731866103094,5.744922994704368,4.928897633969781,3.663010737015984,7.456359617159792,0.008283534956031676,0.008380702521498324,0.1297429917893407,6.468359811494923,9.164261769421367,0.011125686245931108,,0.5506000097167566
std,23767.345518589154,4.710444410846159,,,,133.91635344919013,115.57408562825539,171642.26188005073,151471.45609124954,148620.36704058968,101.51335750093565,116.66772163700348,179861832.6300027,2393000.5556456265,64.64961956032253,55.70802143325085,6182.615731603772,1292.378498781412,56724.01668947716,3635.305382910511,127.35699974821928,1390859761.610447,1381996192.032797,127.4913700559241,0.11602177116004109,0.07085352141912635,0.055093538334030516,208.47206330498105,244.60027141356582,0.5429218189784762,38066.97229164301,11.09028854502271,1.0671880910513527,8.418111964770473,8.389545255933497,5.915386045711441,11.415191374447996,0.09117119352896848,0.09248507528583041,0.6386825746380614,8.543926678517815,11.121413377603817,0.10489060483025199,,0.4974360707081697
min,1.0,0.0,,,,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0
25%,20583.75,8e-06,,,,2.0,0.0,114.0,0.0,28.606114,62.0,0.0,11202.4667975,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0
50%,41166.5,0.014138,,,,6.0,2.0,534.0,178.0,2650.176667,254.0,29.0,577003.21875,2112.951416,1.0,0.0,0.5579285,0.01,17.6239185,0.0,255.0,27888855.0,28569748.5,255.0,0.000551,0.000441,8e-05,65.0,44.0,0.0,0.0,5.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,,1.0
75%,61749.25,0.71936025,,,,12.0,10.0,1280.0,956.0,111111.1072,254.0,252.0,65142856.0,15858.082275,3.0,2.0,63.40944425,63.13636875,3219.33241225,128.45991425,255.0,2171309606.5,2144205173.0,255.0,0.10554074999999999,0.0525955,0.04881625,100.0,87.0,0.0,0.0,11.0,2.0,6.0,4.0,3.0,6.0,0.0,0.0,0.0,7.0,11.0,0.0,,1.0
max,82332.0,59.999989,,,,10646.0,11018.0,14355774.0,14657531.0,1000000.003,255.0,253.0,5268000256.0,20821108.0,5319.0,5507.0,60009.992,57739.24,1483830.917,463199.2401,255.0,4294949667.0,4294880717.0,255.0,3.821465,3.226788,2.928778,1504.0,1500.0,131.0,5242880.0,63.0,6.0,59.0,59.0,38.0,63.0,2.0,2.0,16.0,60.0,62.0,1.0,,1.0
