Feature_as_columns,Outliers
Dst Port,189892
Protocol,219266
Flow Duration,237332
Tot Fwd Pkts,123365
Tot Bwd Pkts,142428
TotLen Fwd Pkts,196778
TotLen Bwd Pkts,167811
Fwd Pkt Len Max,214091
Fwd Pkt Len Min,209153
Fwd Pkt Len Mean,71429
Fwd Pkt Len Std,25113
Bwd Pkt Len Max,61121
Bwd Pkt Len Min,201083
Bwd Pkt Len Mean,55582
Bwd Pkt Len Std,32375
Flow Byts/s,194270
Flow Pkts/s,163003
Flow IAT Mean,178876
Flow IAT Std,232859
Flow IAT Max,231523
Flow IAT Min,222851
Fwd IAT Tot,213098
Fwd IAT Mean,232317
Fwd IAT Std,195575
Fwd IAT Max,213835
Fwd IAT Min,140942
Bwd IAT Tot,186715
Bwd IAT Mean,207418
Bwd IAT Std,178546
Bwd IAT Max,182341
Bwd IAT Min,197528
Fwd PSH Flags,27886
Bwd PSH Flags,0
Fwd URG Flags,0
Bwd URG Flags,0
Fwd Header Len,123093
Bwd Header Len,134865
Fwd Pkts/s,159244
Bwd Pkts/s,164919
Pkt Len Min,207943
Pkt Len Max,5
Pkt Len Mean,38235
Pkt Len Std,45824
Pkt Len Var,158215
FIN Flag Cnt,3746
SYN Flag Cnt,27886
RST Flag Cnt,41528
PSH Flag Cnt,0
ACK Flag Cnt,0
URG Flag Cnt,127031
CWE Flag Count,0
ECE Flag Cnt,41527
Down/Up Ratio,2009
Pkt Size Avg,38231
Fwd Seg Size Avg,71429
Bwd Seg Size Avg,55582
Fwd Byts/b Avg,0
Fwd Pkts/b Avg,0
Fwd Blk Rate Avg,0
Bwd Byts/b Avg,0
Bwd Pkts/b Avg,0
Bwd Blk Rate Avg,0
Subflow Fwd Pkts,123365
Subflow Fwd Byts,196778
Subflow Bwd Pkts,142428
Subflow Bwd Byts,167811
Init Fwd Win Byts,0
Init Bwd Win Byts,140081
Fwd Act Data Pkts,121855
Fwd Seg Size Min,11882
Active Mean,74980
Active Std,55800
Active Max,74980
Active Min,74980
Idle Mean,84853
Idle Std,64973
Idle Max,84853
Idle Min,84853
