Feature_Index,Mean_Shift
0,0.07872025337565444
1,0.11029753262816433
2,0.15624187842141263
3,0.2549035762726678
4,11.98232
5,0.4957455340005854
6,0.9366883613769648
7,28.67028
8,0.21325910257192437
9,0.2099323447539228
10,0.024525180249359624
11,3.4189573261598523
12,9237009.557625439
13,4.982247582193674
14,16574295.59446
15,0.03756
16,0.10280077609807792
17,0.14613460498125946
18,0.0660279592260794
19,2.7566743109649514
20,11.85034
21,0.4835419355315724
22,0.5310432119663252
23,121.83172039735656
24,0.03756
25,0.0564
26,0.25858
27,9766378.632734068
28,4876821.176664343
29,22151189.11934
30,3070293.73812
