Feature,Distance_of_wasserstein_from_unsw_to_2017
0,0.33567793616760955
1,0.5622533848496216
2,0.2911511842722041
3,0.25767522747300575
4,0.5148394355553627
5,1.0013051414831768
6,0.38041596565744695
7,0.6546965544537143
8,0.19031574749516533
9,0.784144007550996
10,0.5236048152235271
11,0.20893548136636567
12,0.26141256459803314
13,0.26091939681169984
14,0.07560158331639555
15,0.27266215315596015
16,0.35688069765482605
17,0.19209522316751657
18,0.5695856695469208
19,0.15015377999983442
20,0.7293220257802345
21,0.3224613694243649
22,0.39077629152967525
23,0.5885625442736262
24,0.27266215315596015
25,0.017323106736611544
26,0.6709068558904006
27,0.27632029538365355
28,0.09374027326455102
29,0.2790966121426656
30,0.2676470584922071
