Type_of_threshold,Value_of_threshold,Accuracy,Precision,Recall,F1,ROC_AUC,Direction
mean_2std,32990496.0,0.89998,0.0,0.0,0.0,0.6869743533333333,2017_to_2018
mean_3std,49446948.0,0.89998,0.0,0.0,0.0,0.6869743533333333,2017_to_2018
mean_4std,65903400.0,0.89998,0.0,0.0,0.0,0.6869743533333333,2017_to_2018
percentile95,217.14539,0.855,0.0,0.0,0.0,0.6869743533333333,2017_to_2018
percentile99,217.28433,0.891,0.0,0.0,0.0,0.6869743533333333,2017_to_2018
mean_2std,288259250000000.0,0.93922,0.6765712227624707,0.7514,0.7120250165829622,0.8939658022222221,unsw_to_2017
mean_3std,419264340000000.0,0.9573,0.8090614886731392,0.75,0.7784120394395433,0.8939658022222221,unsw_to_2017
mean_4std,550269430000000.0,0.9592,0.8392939018798716,0.7322,0.78209784234138,0.8939658022222221,unsw_to_2017
percentile95,80811680000000.0,0.93164,0.6300559026635975,0.7664,0.6915719184262769,0.8939658022222221,unsw_to_2017
percentile99,843875700000000.0,0.93546,0.8316498316498316,0.4446,0.5794343802945393,0.8939658022222221,unsw_to_2017
mean_2std,inf,0.9,0.0,0.0,0.0,0.34193554000000004,unsw_to_2018
mean_3std,inf,0.9,0.0,0.0,0.0,0.34193554000000004,unsw_to_2018
mean_4std,inf,0.9,0.0,0.0,0.0,0.34193554000000004,unsw_to_2018
percentile95,100424800000000.0,0.855,0.0,0.0,0.0,0.34193554000000004,unsw_to_2018
percentile99,411473600000000.0,0.891,0.0,0.0,0.0,0.34193554000000004,unsw_to_2018
