Configuration,Calibration_F1,HeldOut_Precision,HeldOut_Recall,HeldOut_F1
Isolation_Forest(c=0.01),0.0,0.0,0.0,0.0
Isolation_Forest(c=0.05),0.0,0.0,0.0,0.0
Isolation_Forest(c=0.1),0.27986348122866894,0.1829656584034569,0.6436,0.2849300513547016
Isolation_Forest(c=0.15),0.267515923566879,0.17525879917184264,0.6772,0.27845394736842105
Isolation_Forest(c=0.2),0.26791277258566976,0.17650596371654806,0.7044,0.2822793940851166
Isolation_Forest(c=0.25),0.31290743155149936,0.20382009631866788,0.9988,0.33855331841909025
Isolation_Forest(c=0.3),0.29304029304029305,0.1888032638259293,0.9996,0.31761565836298933
One_Class_SVM(nu=0.01),0.24742268041237114,0.14936073604970726,1.0,0.2599022767439443
One_Class_SVM(nu=0.05),0.24439918533604887,0.14715404084996175,1.0,0.2565549797321566
One_Class_SVM(nu=0.1),0.25052192066805845,0.1505751972535084,1.0,0.2617389938753075
One_Class_SVM(nu=0.15),0.2359882005899705,0.14210197237537658,1.0,0.2488428806051859
One_Class_SVM(nu=0.2),0.22429906542056074,0.13399078143423732,1.0,0.23631723225257587
One_Class_SVM(nu=0.25),0.22727272727272727,0.13520090855010547,1.0,0.23819732266209329
One_Class_SVM(nu=0.3),0.21390374331550802,0.12490007993605116,1.0,0.22206430982412506
Local_Outlier_Factor(c=0.01),0.0,0.0002670940170940171,0.0004,0.00032030749519538755
Local_Outlier_Factor(c=0.05),0.18518518518518517,0.1063648740639891,1.0,0.19227811105983694
Local_Outlier_Factor(c=0.1),0.17673048600883653,0.10054697554697554,1.0,0.18272182429469375
Local_Outlier_Factor(c=0.15),0.1762114537444934,0.10038548024413749,1.0,0.1824551160414538
Local_Outlier_Factor(c=0.2),0.17595307917888564,0.10032505317227818,1.0,0.18235530106860207
Local_Outlier_Factor(c=0.25),0.17582417582417584,0.10027274185785336,1.0,0.18226888305628464
Local_Outlier_Factor(c=0.3),0.17582417582417584,0.10025665704202759,1.0,0.1822423093745444
Autoencoder(t=percentile50),0.2981366459627329,0.1817586733580624,0.9996,0.30758815927133976
Autoencoder(t=percentile60),0.3468208092485549,0.21732324549960866,0.9996,0.3570255018215587
Autoencoder(t=percentile70),0.16766467065868262,0.12779428866778653,0.3956,0.19318292802031448
Autoencoder(t=percentile75),0.18876404494382024,0.14953129724826125,0.3956,0.21702874698266403
Autoencoder(t=percentile80),0.21649484536082475,0.18017853889597377,0.3956,0.24759043685066967
Autoencoder(t=percentile85),0.24773413897280966,0.22556218448829737,0.3932,0.2866724992709245
Autoencoder(t=percentile90),0.21455938697318008,0.2654260528893242,0.3252,0.2922883336329319
Autoencoder(t=mean_2std),0.09448818897637795,0.9257425742574258,0.0748,0.1384159881569208
Autoencoder(t=mean_3std),0.064,0.9257425742574258,0.0748,0.1384159881569208
Autoencoder(t=percentile95),0.2647058823529412,0.3869209809264305,0.284,0.3275663206459054
