Model,Alpha,Precision,Recall,F1
Random_Forest,0.0,0.0007535795026375283,0.0002,0.000316105579263474
Random_Forest,0.25,0.0,0.0,0.0
Random_Forest,0.5,0.0,0.0,0.0
Random_Forest,0.75,0.0,0.0,0.0
Random_Forest,1.0,0.0,0.0,0.0
Gradient_Boosting,0.0,0.0012531328320802004,0.0002,0.00034494653328734045
Gradient_Boosting,0.25,0.0,0.0,0.0
Gradient_Boosting,0.5,0.000660414740457007,0.001,0.0007954816641476414
Gradient_Boosting,0.75,0.0,0.0,0.0
Gradient_Boosting,1.0,0.0,0.0,0.0
Logistic_Regression,0.0,0.0,0.0,0.0
Logistic_Regression,0.25,0.0,0.0,0.0
Logistic_Regression,0.5,0.0,0.0,0.0
Logistic_Regression,0.75,0.0,0.0,0.0
Logistic_Regression,1.0,0.0,0.0,0.0
Neural_Network,0.0,0.0,0.0,0.0
Neural_Network,0.25,0.0,0.0,0.0
Neural_Network,0.5,0.0,0.0,0.0
Neural_Network,0.75,0.0,0.0,0.0
Neural_Network,1.0,0.0,0.0,0.0
