Model,Alpha,Precision,Recall,F1,Direction
Random_Forest,0.0,0.0007535795026375283,0.0002,0.000316105579263474,2017_to_2018
Random_Forest,0.25,0.0,0.0,0.0,2017_to_2018
Random_Forest,0.5,0.0,0.0,0.0,2017_to_2018
Random_Forest,0.75,0.0,0.0,0.0,2017_to_2018
Random_Forest,1.0,0.0,0.0,0.0,2017_to_2018
Gradient_Boosting,0.0,0.0012531328320802004,0.0002,0.00034494653328734045,2017_to_2018
Gradient_Boosting,0.25,0.0,0.0,0.0,2017_to_2018
Gradient_Boosting,0.5,0.000660414740457007,0.001,0.0007954816641476414,2017_to_2018
Gradient_Boosting,0.75,0.0,0.0,0.0,2017_to_2018
Gradient_Boosting,1.0,0.0,0.0,0.0,2017_to_2018
Logistic_Regression,0.0,0.0,0.0,0.0,2017_to_2018
Logistic_Regression,0.25,0.0,0.0,0.0,2017_to_2018
Logistic_Regression,0.5,0.0,0.0,0.0,2017_to_2018
Logistic_Regression,0.75,0.0,0.0,0.0,2017_to_2018
Logistic_Regression,1.0,0.0,0.0,0.0,2017_to_2018
Neural_Network,0.0,0.0,0.0,0.0,2017_to_2018
Neural_Network,0.25,0.0,0.0,0.0,2017_to_2018
Neural_Network,0.5,0.0,0.0,0.0,2017_to_2018
Neural_Network,0.75,0.0,0.0,0.0,2017_to_2018
Neural_Network,1.0,0.0,0.0,0.0,2017_to_2018
Random_Forest,0.0,0.1431633608066902,0.9484,0.24877370616163472,unsw_to_2017
Random_Forest,0.25,0.05547143439520121,0.381,0.0968430684764374,unsw_to_2017
Random_Forest,0.5,0.11386593204775022,0.2728,0.16066906178220156,unsw_to_2017
Random_Forest,0.75,0.2936036100565862,0.8198,0.4323611623859501,unsw_to_2017
Random_Forest,1.0,0.02125515345854329,0.0928,0.03458814759597466,unsw_to_2017
Gradient_Boosting,0.0,0.14793907408644533,0.8858,0.2535348331329784,unsw_to_2017
Gradient_Boosting,0.25,0.0,0.0,0.0,unsw_to_2017
Gradient_Boosting,0.5,0.0,0.0,0.0,unsw_to_2017
Gradient_Boosting,0.75,0.014198782961460446,0.0014,0.0025486983433460767,unsw_to_2017
Gradient_Boosting,1.0,0.015734265734265736,0.0018,0.003230437903804738,unsw_to_2017
Logistic_Regression,0.0,0.24398365370062056,0.6448,0.35401339628856926,unsw_to_2017
Logistic_Regression,0.25,0.28904563120771554,0.8032,0.42510850005292683,unsw_to_2017
Logistic_Regression,0.5,0.30062864840592723,0.8034,0.43753403768652654,unsw_to_2017
Logistic_Regression,0.75,0.30335990464128737,0.8144,0.44205612549530476,unsw_to_2017
Logistic_Regression,1.0,0.3045005980861244,0.8146,0.4432956029603831,unsw_to_2017
Neural_Network,0.0,0.17672682016179217,0.852,0.29273320735268854,unsw_to_2017
Neural_Network,0.25,0.0041652782405864714,0.01,0.005880969183721477,unsw_to_2017
Neural_Network,0.5,0.2294906503809104,0.729,0.3490877747450079,unsw_to_2017
Neural_Network,0.75,0.0406020482052343,0.157,0.06451878030738883,unsw_to_2017
Neural_Network,1.0,0.1330173072028506,0.8362,0.22952349582784365,unsw_to_2017
Random_Forest,0.0,0.042742126450390716,0.2166,0.07139560946667546,unsw_to_2018
Random_Forest,0.25,0.08049981719250704,0.7486,0.14536769132182456,unsw_to_2018
Random_Forest,0.5,0.10499569517649776,1.0,0.19003819767773322,unsw_to_2018
Random_Forest,0.75,0.04675373396797111,0.3988,0.0836953556213142,unsw_to_2018
Random_Forest,1.0,0.10220768601798855,1.0,0.18545994065281898,unsw_to_2018
Gradient_Boosting,0.0,0.10947430292788655,0.596,0.18497253344092363,unsw_to_2018
Gradient_Boosting,0.25,0.09011357847103599,0.6014,0.1567411191326331,unsw_to_2018
Gradient_Boosting,0.5,8.355614973262032e-05,0.0004,0.00013823610727121925,unsw_to_2018
Gradient_Boosting,0.75,0.10343997248022016,0.6014,0.17651893161138832,unsw_to_2018
Gradient_Boosting,1.0,0.09422492401215805,0.6014,0.16292363124102618,unsw_to_2018
Logistic_Regression,0.0,9.968102073365231e-05,0.0002,0.00013304949441192123,unsw_to_2018
Logistic_Regression,0.25,0.0,0.0,0.0,unsw_to_2018
Logistic_Regression,0.5,0.0,0.0,0.0,unsw_to_2018
Logistic_Regression,0.75,0.0,0.0,0.0,unsw_to_2018
Logistic_Regression,1.0,0.0,0.0,0.0,unsw_to_2018
Neural_Network,0.0,0.10681867300626756,0.3954,0.16819806023481368,unsw_to_2018
Neural_Network,0.25,0.16756756756756758,0.8556,0.2802489354733049,unsw_to_2018
Neural_Network,0.5,0.14483772295713662,0.7292,0.24167301892420376,unsw_to_2018
Neural_Network,0.75,0.10996184824078,0.2594,0.15445072938374516,unsw_to_2018
Neural_Network,1.0,0.051143908639071214,0.2696,0.08597761265427177,unsw_to_2018
