Model,Alpha,Precision,Recall,F1
Random_Forest,0.0,0.042742126450390716,0.2166,0.07139560946667546
Random_Forest,0.25,0.08049981719250704,0.7486,0.14536769132182456
Random_Forest,0.5,0.10499569517649776,1.0,0.19003819767773322
Random_Forest,0.75,0.04675373396797111,0.3988,0.0836953556213142
Random_Forest,1.0,0.10220768601798855,1.0,0.18545994065281898
Gradient_Boosting,0.0,0.10947430292788655,0.596,0.18497253344092363
Gradient_Boosting,0.25,0.09011357847103599,0.6014,0.1567411191326331
Gradient_Boosting,0.5,8.355614973262032e-05,0.0004,0.00013823610727121925
Gradient_Boosting,0.75,0.10343997248022016,0.6014,0.17651893161138832
Gradient_Boosting,1.0,0.09422492401215805,0.6014,0.16292363124102618
Logistic_Regression,0.0,9.968102073365231e-05,0.0002,0.00013304949441192123
Logistic_Regression,0.25,0.0,0.0,0.0
Logistic_Regression,0.5,0.0,0.0,0.0
Logistic_Regression,0.75,0.0,0.0,0.0
Logistic_Regression,1.0,0.0,0.0,0.0
Neural_Network,0.0,0.10681867300626756,0.3954,0.16819806023481368
Neural_Network,0.25,0.16756756756756758,0.8556,0.2802489354733049
Neural_Network,0.5,0.14483772295713662,0.7292,0.24167301892420376
Neural_Network,0.75,0.10996184824078,0.2594,0.15445072938374516
Neural_Network,1.0,0.051143908639071214,0.2696,0.08597761265427177
