Model,Baseline_Precision,Baseline_Recall,Baseline_F1,Coral_Precision,Coral_Recall,Coral_F1,F1_Improvement,Direction
Random_Forest,0.0007535795026375283,0.0002,0.000316105579263474,0.0,0.0,0.0,-0.000316105579263474,2017_to_2018
Gradient_Boosting,0.0012531328320802004,0.0002,0.00034494653328734045,0.0,0.0,0.0,-0.00034494653328734045,2017_to_2018
Logistic_Regression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017_to_2018
Neural_Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017_to_2018
Random_Forest,0.1431633608066902,0.9484,0.24877370616163472,0.02125515345854329,0.0928,0.03458814759597466,-0.21418555856566007,unsw_to_2017
Gradient_Boosting,0.14793907408644533,0.8858,0.2535348331329784,0.015734265734265736,0.0018,0.003230437903804738,-0.2503043952291737,unsw_to_2017
Logistic_Regression,0.24398365370062056,0.6448,0.35401339628856926,0.3045005980861244,0.8146,0.4432956029603831,0.08928220667181386,unsw_to_2017
Neural_Network,0.17672682016179217,0.852,0.29273320735268854,0.1330173072028506,0.8362,0.22952349582784365,-0.06320971152484489,unsw_to_2017
Random_Forest,0.042742126450390716,0.2166,0.07139560946667546,0.10220768601798855,1.0,0.18545994065281898,0.11406433118614352,unsw_to_2018
Gradient_Boosting,0.10947430292788655,0.596,0.18497253344092363,0.09422492401215805,0.6014,0.16292363124102618,-0.02204890219989744,unsw_to_2018
Logistic_Regression,9.968102073365231e-05,0.0002,0.00013304949441192123,0.0,0.0,0.0,-0.00013304949441192123,unsw_to_2018
Neural_Network,0.10681867300626756,0.3954,0.16819806023481368,0.051143908639071214,0.2696,0.08597761265427177,-0.08222044758054191,unsw_to_2018
