Model,Features_Removed,Calibration_F1
Random_Forest,0,0.0
Random_Forest,3,0.0
Random_Forest,5,0.0
Random_Forest,8,0.0
Random_Forest,10,0.0
Random_Forest,15,0.0
Gradient_Boosting,0,0.0
Gradient_Boosting,3,0.0
Gradient_Boosting,5,0.0
Gradient_Boosting,8,0.0
Gradient_Boosting,10,0.0
Gradient_Boosting,15,0.0
Logistic_Regression,0,0.0
Logistic_Regression,3,0.0
Logistic_Regression,5,0.0
Logistic_Regression,8,0.0
Logistic_Regression,10,0.0
Logistic_Regression,15,0.27693726937269375
Neural_Network,0,0.0
Neural_Network,3,0.0
Neural_Network,5,0.0
Neural_Network,8,0.0
Neural_Network,10,0.0
Neural_Network,15,0.0007958615200955034
