Feature,Wasserstein_Distance
Flow IAT Min,10.129764544669884
RST Flag Count,2.892782655457236
Idle Std,2.1414735709699246
Flow IAT Std,1.9056996858145805
Idle Max,1.504031739444674
Flow IAT Max,1.463684631546677
Flow Duration,0.926979215038222
Idle Mean,0.8889040172376359
Packet Length Mean,0.6102348794220919
Bwd Packet Length Mean,0.6089375159658944
Packet Length Std,0.5795447514727634
Max Packet Length,0.5634936251236775
Idle Min,0.5508673932184135
Bwd Packet Length Max,0.5428311125375891
Flow IAT Mean,0.5331006485178487
Bwd Packets/s,0.33368469066869183
Fwd Packet Length Max,0.22794389591542846
ACK Flag Count,0.22476723113744054
Fwd Packet Length Mean,0.15621680028598306
Bwd Packet Length Min,0.1368751064666519
Flow Packets/s,0.10732316151912502
Min Packet Length,0.10217972352572874
Fwd Packets/s,0.09631335074133027
Fwd Packet Length Min,0.09032960493985637
Bwd Header Length,0.07800390784622027
Total Backward Packets,0.06455131543498593
Fwd Header Length,0.05885522033549859
Flow Bytes/s,0.04570896533506595
Total Fwd Packets,0.045136748182519795
SYN Flag Count,0.030498688963427358
Fwd PSH Flags,0.030498688963427358
