Model,Selected_K,Calibration_F1_at_Selection,Held_Out_Precision,Held_Out_Recall,Held_Out_F1,Direction
Random_Forest,0,0.0,0.0015105740181268882,0.0004,0.0006325110689437065,2017_to_2018
Gradient_Boosting,0,0.0,0.002531645569620253,0.0004,0.000690846286701209,2017_to_2018
Logistic_Regression,15,0.27693726937269375,0.17976857926756531,0.6028,0.27694569512083067,2017_to_2018
Neural_Network,15,0.0007958615200955034,0.0,0.0,0.0,2017_to_2018
Random_Forest,5,0.2598187311178248,0.14984591679506934,0.9336,0.25824297410931624,unsw_to_2017
Gradient_Boosting,15,0.26455955516534974,0.1543586896168795,0.8896,0.2630707357463922,unsw_to_2017
Logistic_Regression,0,0.3557469360715469,0.2423013369385609,0.6452,0.3522987878126024,unsw_to_2017
Neural_Network,0,0.2921966311447233,0.17703150912106136,0.854,0.2932692307692308,unsw_to_2017
Random_Forest,10,0.10965001011531458,0.0650811505704644,0.324,0.1083902047370534,unsw_to_2018
Gradient_Boosting,0,0.1846670397313934,0.10962017891186392,0.598,0.18527698599578635,unsw_to_2018
Logistic_Regression,15,0.16508424345535372,0.096755615281244,0.6048,0.16682297125834392,unsw_to_2018
Neural_Network,8,0.2787183274627883,0.16044260027662519,0.9744,0.27551885992195896,unsw_to_2018
