Feature,Wasserstein_Distance
Idle Max,11271442.857040001
Idle Mean,11075499.630124921
Idle Min,10849122.07668
Flow IAT Std,3702491.6744988533
Idle Std,244164.2686157453
Flow IAT Min,120069.84536000097
Packet Length Std,300.5656114094564
Bwd Packet Length Min,47.378639999999976
Fwd Packet Length Min,19.134959999999978
Min Packet Length,18.719119999999993
Flow Duration,3.86573900395227
Bwd Packet Length Max,3.2007939755819304
Max Packet Length,2.731312406358411
Flow IAT Max,2.3024228220349925
Flow IAT Mean,1.95103793979882
Bwd Packets/s,1.0728512293391979
Bwd Packet Length Mean,0.8180832282507503
Fwd Packet Length Max,0.7545382354393901
Fwd Packets/s,0.41366427484820556
Flow Packets/s,0.39812673675106536
Fwd Packet Length Mean,0.37646492382089886
Flow Bytes/s,0.31185037776160734
ACK Flag Count,0.31104
Packet Length Mean,0.22440257094039792
Total Backward Packets,0.10518926603535375
Bwd Header Length,0.08451816284267158
Total Fwd Packets,0.08312881029026234
Fwd Header Length,0.0680419173245872
SYN Flag Count,0.054159999999999986
Fwd PSH Flags,0.054159999999999986
RST Flag Count,0.0005199999999999649
