Model,Features_Removed,Calibration_F1
Random_Forest,0,0.07167461579226285
Random_Forest,3,0.09494378328621211
Random_Forest,5,0.09236532747707014
Random_Forest,8,0.09981740718198417
Random_Forest,10,0.10965001011531458
Random_Forest,15,0.07831292810528019
Gradient_Boosting,0,0.1846670397313934
Gradient_Boosting,3,0.1846670397313934
Gradient_Boosting,5,0.1846670397313934
Gradient_Boosting,8,0.1846670397313934
Gradient_Boosting,10,0.1846670397313934
Gradient_Boosting,15,0.14203357617991763
Logistic_Regression,0,0.0
Logistic_Regression,3,0.0
Logistic_Regression,5,0.0
Logistic_Regression,8,0.0
Logistic_Regression,10,0.0
Logistic_Regression,15,0.16508424345535372
Neural_Network,0,0.16825288919102652
Neural_Network,3,0.18076001369394043
Neural_Network,5,0.134933694705256
Neural_Network,8,0.2787183274627883
Neural_Network,10,0.25354005167958654
Neural_Network,15,0.037332720693814256
