Model,Target_Fraction,Target_Samples_Used,Precision,Recall,F1
Random_Forest,0.0,0,0.0015105740181268882,0.0004,0.0006325110689437065
Random_Forest,0.01,250,0.9423774954627949,0.8308,0.8830782312925171
Random_Forest,0.02,500,0.9395033860045147,0.8324,0.8827147401908801
Random_Forest,0.05,1250,0.9587671803415244,0.9208,0.9394001224239951
Random_Forest,0.1,2500,0.9886501824077827,0.9756,0.9820817394805718
Gradient_Boosting,0.0,0,0.002531645569620253,0.0004,0.000690846286701209
Gradient_Boosting,0.01,250,0.9600622406639004,0.7404,0.8360433604336044
Gradient_Boosting,0.02,500,0.9761564139246542,0.8188,0.89058081357407
Gradient_Boosting,0.05,1250,0.9840172786177106,0.9112,0.9462097611630322
Gradient_Boosting,0.1,2500,0.9939123376623377,0.9796,0.9867042707493956
Logistic_Regression,0.0,0,0.0,0.0,0.0
Logistic_Regression,0.01,250,0.0,0.0,0.0
Logistic_Regression,0.02,500,0.0,0.0,0.0
Logistic_Regression,0.05,1250,0.0,0.0,0.0
Logistic_Regression,0.1,2500,0.6167664670658682,0.1236,0.20593135621459513
Neural_Network,0.0,0,0.0,0.0,0.0
Neural_Network,0.01,250,0.93189448441247,0.7772,0.847546346782988
Neural_Network,0.02,500,0.9559573481687529,0.8248,0.8855486364612412
Neural_Network,0.05,1250,0.9506340579710145,0.8396,0.8916737468139337
Neural_Network,0.1,2500,0.9442724458204335,0.976,0.9598741148701809
