Model,Target_Fraction,Target_Samples_Used,Precision,Recall,F1,Direction
Random_Forest,0.0,0,0.0015105740181268882,0.0004,0.0006325110689437065,2017_to_2018
Random_Forest,0.01,250,0.9423774954627949,0.8308,0.8830782312925171,2017_to_2018
Random_Forest,0.02,500,0.9395033860045147,0.8324,0.8827147401908801,2017_to_2018
Random_Forest,0.05,1250,0.9587671803415244,0.9208,0.9394001224239951,2017_to_2018
Random_Forest,0.1,2500,0.9886501824077827,0.9756,0.9820817394805718,2017_to_2018
Gradient_Boosting,0.0,0,0.002531645569620253,0.0004,0.000690846286701209,2017_to_2018
Gradient_Boosting,0.01,250,0.9600622406639004,0.7404,0.8360433604336044,2017_to_2018
Gradient_Boosting,0.02,500,0.9761564139246542,0.8188,0.89058081357407,2017_to_2018
Gradient_Boosting,0.05,1250,0.9840172786177106,0.9112,0.9462097611630322,2017_to_2018
Gradient_Boosting,0.1,2500,0.9939123376623377,0.9796,0.9867042707493956,2017_to_2018
Logistic_Regression,0.0,0,0.0,0.0,0.0,2017_to_2018
Logistic_Regression,0.01,250,0.0,0.0,0.0,2017_to_2018
Logistic_Regression,0.02,500,0.0,0.0,0.0,2017_to_2018
Logistic_Regression,0.05,1250,0.0,0.0,0.0,2017_to_2018
Logistic_Regression,0.1,2500,0.6167664670658682,0.1236,0.20593135621459513,2017_to_2018
Neural_Network,0.0,0,0.0,0.0,0.0,2017_to_2018
Neural_Network,0.01,250,0.93189448441247,0.7772,0.847546346782988,2017_to_2018
Neural_Network,0.02,500,0.9559573481687529,0.8248,0.8855486364612412,2017_to_2018
Neural_Network,0.05,1250,0.9506340579710145,0.8396,0.8916737468139337,2017_to_2018
Neural_Network,0.1,2500,0.9442724458204335,0.976,0.9598741148701809,2017_to_2018
Random_Forest,0.0,0,0.14301303425280387,0.9436,0.2483811529349829,unsw_to_2017
Random_Forest,0.01,250,0.8731853116994022,0.818,0.8446922759190417,unsw_to_2017
Random_Forest,0.02,500,0.9296703296703297,0.846,0.8858638743455497,unsw_to_2017
Random_Forest,0.05,1250,0.9666117065127783,0.938,0.952090946000812,unsw_to_2017
Random_Forest,0.1,2500,0.9813160032493907,0.9664,0.973800886739218,unsw_to_2017
Gradient_Boosting,0.0,0,0.14864410201197767,0.8836,0.2544784286619434,unsw_to_2017
Gradient_Boosting,0.01,250,0.8727028238458091,0.7788,0.8230818008877616,unsw_to_2017
Gradient_Boosting,0.02,500,0.9013663535439795,0.8444,0.8719537381247419,unsw_to_2017
Gradient_Boosting,0.05,1250,0.9877551020408163,0.8712,0.9258235919234856,unsw_to_2017
Gradient_Boosting,0.1,2500,0.9874266554903605,0.9424,0.9643880474826033,unsw_to_2017
Logistic_Regression,0.0,0,0.2423013369385609,0.6452,0.3522987878126024,unsw_to_2017
Logistic_Regression,0.01,250,0.2554561326931471,0.9364,0.4014060356652949,unsw_to_2017
Logistic_Regression,0.02,500,0.457341715312079,0.8148,0.5858498705780846,unsw_to_2017
Logistic_Regression,0.05,1250,0.3969966159052453,0.7508,0.5193691200885445,unsw_to_2017
Logistic_Regression,0.1,2500,0.4750662490966032,0.7888,0.592993534806796,unsw_to_2017
Neural_Network,0.0,0,0.17703150912106136,0.854,0.2932692307692308,unsw_to_2017
Neural_Network,0.01,250,0.333105452059477,0.7796,0.4667704466530954,unsw_to_2017
Neural_Network,0.02,500,0.1497584541062802,0.0124,0.022903583302548946,unsw_to_2017
Neural_Network,0.05,1250,0.0,0.0,0.0,unsw_to_2017
Neural_Network,0.1,2500,0.7631578947368421,0.0116,0.022852639873916468,unsw_to_2017
Random_Forest,0.0,0,0.04253649348610893,0.2168,0.07111927568560557,unsw_to_2018
Random_Forest,0.01,250,0.9018939393939394,0.9524,0.9264591439688716,unsw_to_2018
Random_Forest,0.02,500,0.9493720565149136,0.9676,0.9583993660855784,unsw_to_2018
Random_Forest,0.05,1250,0.9857594936708861,0.9968,0.9912490055688147,unsw_to_2018
Random_Forest,0.1,2500,0.9936204146730463,0.9968,0.9952076677316294,unsw_to_2018
Gradient_Boosting,0.0,0,0.10962017891186392,0.598,0.18527698599578635,unsw_to_2018
Gradient_Boosting,0.01,250,0.9751103974307507,0.9716,0.9733520336605891,unsw_to_2018
Gradient_Boosting,0.02,500,0.9800955414012739,0.9848,0.9824421388667198,unsw_to_2018
Gradient_Boosting,0.05,1250,0.9869358669833729,0.9972,0.9920413847990449,unsw_to_2018
Gradient_Boosting,0.1,2500,0.9972011195521792,0.9976,0.9974005198960207,unsw_to_2018
Logistic_Regression,0.0,0,0.00019774569903104609,0.0004,0.00026465528648934763,unsw_to_2018
Logistic_Regression,0.01,250,0.0008764241893076249,0.0004,0.0005492996429552321,unsw_to_2018
Logistic_Regression,0.02,500,0.0,0.0,0.0,unsw_to_2018
Logistic_Regression,0.05,1250,0.175422138836773,0.0748,0.10487941671340438,unsw_to_2018
Logistic_Regression,0.1,2500,0.5700846660395108,0.2424,0.3401627841706427,unsw_to_2018
Neural_Network,0.0,0,0.10681818181818181,0.3948,0.16814310051107326,unsw_to_2018
Neural_Network,0.01,250,0.8700036010082823,0.9664,0.9156717832101573,unsw_to_2018
Neural_Network,0.02,500,0.8776806989674345,0.884,0.8808290155440415,unsw_to_2018
Neural_Network,0.05,1250,0.8726431874777659,0.9812,0.9237431745434005,unsw_to_2018
Neural_Network,0.1,2500,0.9081289081289081,0.7552,0.8246341996069011,unsw_to_2018
