Model,Target_Fraction,Target_Samples_Used,Precision,Recall,F1
Random_Forest,0.0,0,0.14301303425280387,0.9436,0.2483811529349829
Random_Forest,0.01,250,0.8731853116994022,0.818,0.8446922759190417
Random_Forest,0.02,500,0.9296703296703297,0.846,0.8858638743455497
Random_Forest,0.05,1250,0.9666117065127783,0.938,0.952090946000812
Random_Forest,0.1,2500,0.9813160032493907,0.9664,0.973800886739218
Gradient_Boosting,0.0,0,0.14864410201197767,0.8836,0.2544784286619434
Gradient_Boosting,0.01,250,0.8727028238458091,0.7788,0.8230818008877616
Gradient_Boosting,0.02,500,0.9013663535439795,0.8444,0.8719537381247419
Gradient_Boosting,0.05,1250,0.9877551020408163,0.8712,0.9258235919234856
Gradient_Boosting,0.1,2500,0.9874266554903605,0.9424,0.9643880474826033
Logistic_Regression,0.0,0,0.2423013369385609,0.6452,0.3522987878126024
Logistic_Regression,0.01,250,0.2554561326931471,0.9364,0.4014060356652949
Logistic_Regression,0.02,500,0.457341715312079,0.8148,0.5858498705780846
Logistic_Regression,0.05,1250,0.3969966159052453,0.7508,0.5193691200885445
Logistic_Regression,0.1,2500,0.4750662490966032,0.7888,0.592993534806796
Neural_Network,0.0,0,0.17703150912106136,0.854,0.2932692307692308
Neural_Network,0.01,250,0.333105452059477,0.7796,0.4667704466530954
Neural_Network,0.02,500,0.1497584541062802,0.0124,0.022903583302548946
Neural_Network,0.05,1250,0.0,0.0,0.0
Neural_Network,0.1,2500,0.7631578947368421,0.0116,0.022852639873916468
