Model,Target_Fraction,Target_Samples_Used,Precision,Recall,F1
Random_Forest,0.0,0,0.0015105740181268882,0.0004,0.0006325110689437065
Random_Forest,0.001,25,0.7334963325183375,0.36,0.48296216796350955
Random_Forest,0.002,50,0.7517136329017517,0.3948,0.5177025963808025
Random_Forest,0.005,125,0.9156378600823045,0.712,0.8010801080108011
Random_Forest,0.01,250,0.9423774954627949,0.8308,0.8830782312925171
Random_Forest,0.02,500,0.9395033860045147,0.8324,0.8827147401908801
Random_Forest,0.05,1250,0.9587671803415244,0.9208,0.9394001224239951
Random_Forest,0.1,2500,0.9886501824077827,0.9756,0.9820817394805718
Gradient_Boosting,0.0,0,0.002531645569620253,0.0004,0.000690846286701209
Gradient_Boosting,0.001,25,0.9160899653979239,0.4236,0.5793216630196937
Gradient_Boosting,0.002,50,0.9106047326906223,0.4156,0.5707223290304861
Gradient_Boosting,0.005,125,0.9512570548999487,0.7416,0.8334457181389077
Gradient_Boosting,0.01,250,0.9600622406639004,0.7404,0.8360433604336044
Gradient_Boosting,0.02,500,0.9761564139246542,0.8188,0.89058081357407
Gradient_Boosting,0.05,1250,0.9840172786177106,0.9112,0.9462097611630322
Gradient_Boosting,0.1,2500,0.9939123376623377,0.9796,0.9867042707493956
