Model,Target_Fraction,Target_Samples_Used,Precision,Recall,F1,Direction
Random_Forest,0.0,0,0.0015105740181268882,0.0004,0.0006325110689437065,2017_to_2018
Random_Forest,0.001,25,0.7334963325183375,0.36,0.48296216796350955,2017_to_2018
Random_Forest,0.002,50,0.7517136329017517,0.3948,0.5177025963808025,2017_to_2018
Random_Forest,0.005,125,0.9156378600823045,0.712,0.8010801080108011,2017_to_2018
Random_Forest,0.01,250,0.9423774954627949,0.8308,0.8830782312925171,2017_to_2018
Random_Forest,0.02,500,0.9395033860045147,0.8324,0.8827147401908801,2017_to_2018
Random_Forest,0.05,1250,0.9587671803415244,0.9208,0.9394001224239951,2017_to_2018
Random_Forest,0.1,2500,0.9886501824077827,0.9756,0.9820817394805718,2017_to_2018
Gradient_Boosting,0.0,0,0.002531645569620253,0.0004,0.000690846286701209,2017_to_2018
Gradient_Boosting,0.001,25,0.9160899653979239,0.4236,0.5793216630196937,2017_to_2018
Gradient_Boosting,0.002,50,0.9106047326906223,0.4156,0.5707223290304861,2017_to_2018
Gradient_Boosting,0.005,125,0.9512570548999487,0.7416,0.8334457181389077,2017_to_2018
Gradient_Boosting,0.01,250,0.9600622406639004,0.7404,0.8360433604336044,2017_to_2018
Gradient_Boosting,0.02,500,0.9761564139246542,0.8188,0.89058081357407,2017_to_2018
Gradient_Boosting,0.05,1250,0.9840172786177106,0.9112,0.9462097611630322,2017_to_2018
Gradient_Boosting,0.1,2500,0.9939123376623377,0.9796,0.9867042707493956,2017_to_2018
Random_Forest,0.0,0,0.14301303425280387,0.9436,0.2483811529349829,unsw_to_2017
Random_Forest,0.001,25,0.29453551912568304,0.8624,0.4391038696537678,unsw_to_2017
Random_Forest,0.002,50,0.42894951140065146,0.8428,0.5685375067458176,unsw_to_2017
Random_Forest,0.005,125,0.742602495543672,0.8332,0.785296889726673,unsw_to_2017
Random_Forest,0.01,250,0.8731853116994022,0.818,0.8446922759190417,unsw_to_2017
Random_Forest,0.02,500,0.9296703296703297,0.846,0.8858638743455497,unsw_to_2017
Random_Forest,0.05,1250,0.9666117065127783,0.938,0.952090946000812,unsw_to_2017
Random_Forest,0.1,2500,0.9813160032493907,0.9664,0.973800886739218,unsw_to_2017
Gradient_Boosting,0.0,0,0.14864410201197767,0.8836,0.2544784286619434,unsw_to_2017
Gradient_Boosting,0.001,25,0.15484645393618085,0.6192,0.24773945746979276,unsw_to_2017
Gradient_Boosting,0.002,50,0.4417989417989418,0.4008,0.4203020134228188,unsw_to_2017
Gradient_Boosting,0.005,125,0.78125,0.82,0.8001561280249805,unsw_to_2017
Gradient_Boosting,0.01,250,0.8727028238458091,0.7788,0.8230818008877616,unsw_to_2017
Gradient_Boosting,0.02,500,0.9013663535439795,0.8444,0.8719537381247419,unsw_to_2017
Gradient_Boosting,0.05,1250,0.9877551020408163,0.8712,0.9258235919234856,unsw_to_2017
Gradient_Boosting,0.1,2500,0.9874266554903605,0.9424,0.9643880474826033,unsw_to_2017
Random_Forest,0.0,0,0.04253649348610893,0.2168,0.07111927568560557,unsw_to_2018
Random_Forest,0.001,25,0.44229390681003583,0.7404,0.5537771129394166,unsw_to_2018
Random_Forest,0.002,50,0.5420307321482374,0.7196,0.6183192988485994,unsw_to_2018
Random_Forest,0.005,125,0.6816479400749064,0.9464,0.7924970691676436,unsw_to_2018
Random_Forest,0.01,250,0.9018939393939394,0.9524,0.9264591439688716,unsw_to_2018
Random_Forest,0.02,500,0.9493720565149136,0.9676,0.9583993660855784,unsw_to_2018
Random_Forest,0.05,1250,0.9857594936708861,0.9968,0.9912490055688147,unsw_to_2018
Random_Forest,0.1,2500,0.9936204146730463,0.9968,0.9952076677316294,unsw_to_2018
Gradient_Boosting,0.0,0,0.10962017891186392,0.598,0.18527698599578635,unsw_to_2018
Gradient_Boosting,0.001,25,0.23147863510605596,0.6024,0.3344437041972019,unsw_to_2018
Gradient_Boosting,0.002,50,0.5305313243457573,0.5352,0.5328554360812425,unsw_to_2018
Gradient_Boosting,0.005,125,0.8139066174000672,0.9692,0.8847909439474164,unsw_to_2018
Gradient_Boosting,0.01,250,0.9751103974307507,0.9716,0.9733520336605891,unsw_to_2018
Gradient_Boosting,0.02,500,0.9800955414012739,0.9848,0.9824421388667198,unsw_to_2018
Gradient_Boosting,0.05,1250,0.9869358669833729,0.9972,0.9920413847990449,unsw_to_2018
Gradient_Boosting,0.1,2500,0.9972011195521792,0.9976,0.9974005198960207,unsw_to_2018
