Model,Target_Fraction,Target_Samples_Used,Precision,Recall,F1
Random_Forest,0.0,0,0.14301303425280387,0.9436,0.2483811529349829
Random_Forest,0.001,25,0.29453551912568304,0.8624,0.4391038696537678
Random_Forest,0.002,50,0.42894951140065146,0.8428,0.5685375067458176
Random_Forest,0.005,125,0.742602495543672,0.8332,0.785296889726673
Random_Forest,0.01,250,0.8731853116994022,0.818,0.8446922759190417
Random_Forest,0.02,500,0.9296703296703297,0.846,0.8858638743455497
Random_Forest,0.05,1250,0.9666117065127783,0.938,0.952090946000812
Random_Forest,0.1,2500,0.9813160032493907,0.9664,0.973800886739218
Gradient_Boosting,0.0,0,0.14864410201197767,0.8836,0.2544784286619434
Gradient_Boosting,0.001,25,0.15484645393618085,0.6192,0.24773945746979276
Gradient_Boosting,0.002,50,0.4417989417989418,0.4008,0.4203020134228188
Gradient_Boosting,0.005,125,0.78125,0.82,0.8001561280249805
Gradient_Boosting,0.01,250,0.8727028238458091,0.7788,0.8230818008877616
Gradient_Boosting,0.02,500,0.9013663535439795,0.8444,0.8719537381247419
Gradient_Boosting,0.05,1250,0.9877551020408163,0.8712,0.9258235919234856
Gradient_Boosting,0.1,2500,0.9874266554903605,0.9424,0.9643880474826033
