Configuration,Calibration_F1,HeldOut_Precision,HeldOut_Recall,HeldOut_F1
Isolation_Forest(contamination=0.01),0.0,0.0,0.0,0.0
Isolation_Forest(contamination=0.05),0.0,0.0,0.0,0.0
Isolation_Forest(contamination=0.1),0.032520325203252036,0.04342327150084317,0.0412,0.04228243021346469
Isolation_Forest(contamination=0.15),0.057971014492753624,0.08697135061391542,0.102,0.0938880706921944
Isolation_Forest(contamination=0.2),0.07667731629392971,0.08629009367016748,0.1216,0.10094637223974763
Isolation_Forest(contamination=0.25),0.4052863436123348,0.2895992366412214,0.7284,0.4144287664997724
Isolation_Forest(contamination=0.3),0.4065040650406504,0.28814528814528817,0.806,0.4245233329821974
Isolation_Forest(contamination=0.35),0.39626168224299063,0.2766169154228856,0.8896,0.422011385199241
Isolation_Forest(contamination=0.4),0.3681592039800995,0.243446088794926,0.9212,0.3851170568561873
One_Class_SVM(nu=0.01),0.07801418439716312,0.1032719836400818,0.1212,0.11152005888847995
One_Class_SVM(nu=0.05),0.07692307692307693,0.08905068608232988,0.1272,0.10476033602371933
One_Class_SVM(nu=0.1),0.14207650273224043,0.1413479822522713,0.2676,0.18498548320199087
One_Class_SVM(nu=0.15),0.13740458015267176,0.1287110108981586,0.274,0.1751470212221938
One_Class_SVM(nu=0.2),0.13012048192771083,0.12261863526151714,0.2832,0.17113850616388687
One_Class_SVM(nu=0.25),0.1368653421633554,0.11634435433562071,0.2984,0.16741472172351884
One_Class_SVM(nu=0.3),0.16032064128256512,0.12722298221614228,0.372,0.18960244648318042
One_Class_SVM(nu=0.35),0.1532567049808429,0.12075281040798282,0.3824,0.18354612652395125
One_Class_SVM(nu=0.4),0.1453900709219858,0.11204224543680404,0.3904,0.17411470876817411
Local_Outlier_Factor(contamination=0.01),0.1095890410958904,0.2951945080091533,0.0516,0.08784473953013279
Local_Outlier_Factor(contamination=0.05),0.04878048780487805,0.02638566213076668,0.0636,0.03729767769176636
Local_Outlier_Factor(contamination=0.1),0.26869806094182824,0.1663316143693733,0.7612,0.2730076752026397
Local_Outlier_Factor(contamination=0.15),0.22863741339491916,0.13805022573363432,0.7828,0.23470856320460542
Local_Outlier_Factor(contamination=0.2),0.2131324004305705,0.12569850343631575,0.7828,0.21661409043112514
Local_Outlier_Factor(contamination=0.25),0.20570264765784113,0.12185074626865672,0.8164,0.21205194805194805
Local_Outlier_Factor(contamination=0.3),0.20372184133202742,0.11948508563003289,0.8428,0.20929770537399423
Local_Outlier_Factor(contamination=0.35),0.19830028328611898,0.11504809521221673,0.8468,0.2025740395196402
Local_Outlier_Factor(contamination=0.4),0.19728506787330316,0.11175863847343992,0.8668,0.19798994974874373
Autoencoder(threshold=percentile50),0.25921219822109276,0.16000895990442768,0.8572,0.2696784748002265
Autoencoder(threshold=percentile60),0.3026706231454006,0.19057469196870222,0.8476,0.3111829062339379
Autoencoder(threshold=percentile70),0.2841121495327103,0.22226062910473557,0.7716,0.3451113695321585
Autoencoder(threshold=percentile75),0.11241217798594848,0.11792378861533637,0.3008,0.16942660808831814
