Configuration,Calibration_F1,HeldOut_Precision,HeldOut_Recall,HeldOut_F1
Isolation_Forest(contamination=0.01),0.0,0.0,0.0,0.0
Isolation_Forest(contamination=0.05),0.0,0.0,0.0,0.0
Isolation_Forest(contamination=0.1),0.023255813953488372,0.024963289280469897,0.0748,0.03743369032128916
Isolation_Forest(contamination=0.15),0.27677100494233936,0.18384189379954394,0.6772,0.28917926381416004
Isolation_Forest(contamination=0.2),0.29455081001472755,0.1899092970521542,0.804,0.30724549067563434
Isolation_Forest(contamination=0.25),0.29411764705882354,0.19015370567645715,0.9996,0.31952435749904107
Isolation_Forest(contamination=0.3),0.292326431181486,0.18790886532822015,0.9996,0.3163491360212672
Isolation_Forest(contamination=0.35),0.2843601895734597,0.18094272681196147,0.9996,0.3064189810557293
Isolation_Forest(contamination=0.4),0.25236593059936907,0.1555168336548634,0.9996,0.26915827454359414
One_Class_SVM(nu=0.01),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.05),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.1),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.15),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.2),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.25),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.3),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.35),0.17518248175182483,0.1,1.0,0.18181818181818182
One_Class_SVM(nu=0.4),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.01),0.3553530751708428,0.2356897091022834,0.6028,0.3388801439172476
Local_Outlier_Factor(contamination=0.05),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.1),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.15),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.2),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.25),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.3),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.35),0.17518248175182483,0.1,1.0,0.18181818181818182
Local_Outlier_Factor(contamination=0.4),0.17518248175182483,0.1,1.0,0.18181818181818182
Autoencoder(threshold=percentile50),0.05673758865248227,0.10792165569740703,0.5444,0.1801336774535107
Autoencoder(threshold=percentile60),0.0,0.0,0.0,0.0
Autoencoder(threshold=percentile70),0.0,0.0,0.0,0.0
Autoencoder(threshold=percentile75),0.0,0.0,0.0,0.0
Autoencoder(threshold=percentile80),0.0,0.0,0.0,0.0
Autoencoder(threshold=percentile85),0.0,0.0,0.0,0.0
Autoencoder(threshold=percentile90),0.0,0.0,0.0,0.0
Autoencoder(threshold=mean_2std),0.0,0.0,0.0,0.0
