Model,Fraction,N_Target_Benign,Precision,Recall,F1
Isolation_Forest,0.0,0,0.04342327150084317,0.0412,0.04228243021346469
One_Class_SVM,0.0,0,0.1413479822522713,0.2676,0.18498548320199087
Local_Outlier_Factor,0.0,0,0.1663316143693733,0.7612,0.2730076752026397
Autoencoder,0.0,0,0.04377390565235869,0.0412,0.042447970327632395
Isolation_Forest,0.01,225,0.04379251700680272,0.0412,0.04245671887881286
One_Class_SVM,0.01,225,0.1347928740072977,0.2512,0.17544349769520884
Local_Outlier_Factor,0.01,225,0.23880035136152591,0.7612,0.36354952717547045
Autoencoder,0.01,225,0.07635467980295567,0.0744,0.0753646677471637
Isolation_Forest,0.02,450,0.04384844614729672,0.0412,0.042482986182718084
One_Class_SVM,0.02,450,0.1332901274573342,0.2468,0.17309580586337495
Local_Outlier_Factor,0.02,450,0.2547523427041499,0.7612,0.3817452357071214
Autoencoder,0.02,450,0.0,0.0,0.0
Isolation_Forest,0.05,1125,0.04388581167447806,0.0412,0.042500515782958534
One_Class_SVM,0.05,1125,0.1359330248953514,0.2468,0.17530899275465264
Local_Outlier_Factor,0.05,1125,0.2541554959785523,0.7584,0.38072289156626504
Autoencoder,0.05,1125,0.07673368896183833,0.0748,0.07575450678549726
Isolation_Forest,0.1,2250,0.04364406779661017,0.0412,0.04238683127572016
One_Class_SVM,0.1,2250,0.14128692466223952,0.2468,0.1797000145623999
Local_Outlier_Factor,0.1,2250,0.2890828357066299,0.7552,0.41811538035654966
Autoencoder,0.1,2250,0.04377390565235869,0.0412,0.042447970327632395
