Model,Fraction,N_Target_Benign,Precision,Recall,F1,Direction
Isolation_Forest,0.0,0,0.04342327150084317,0.0412,0.04228243021346469,2017_to_2018
One_Class_SVM,0.0,0,0.1413479822522713,0.2676,0.18498548320199087,2017_to_2018
Local_Outlier_Factor,0.0,0,0.1663316143693733,0.7612,0.2730076752026397,2017_to_2018
Autoencoder,0.0,0,0.04377390565235869,0.0412,0.042447970327632395,2017_to_2018
Isolation_Forest,0.01,225,0.04379251700680272,0.0412,0.04245671887881286,2017_to_2018
One_Class_SVM,0.01,225,0.1347928740072977,0.2512,0.17544349769520884,2017_to_2018
Local_Outlier_Factor,0.01,225,0.23880035136152591,0.7612,0.36354952717547045,2017_to_2018
Autoencoder,0.01,225,0.07635467980295567,0.0744,0.0753646677471637,2017_to_2018
Isolation_Forest,0.02,450,0.04384844614729672,0.0412,0.042482986182718084,2017_to_2018
One_Class_SVM,0.02,450,0.1332901274573342,0.2468,0.17309580586337495,2017_to_2018
Local_Outlier_Factor,0.02,450,0.2547523427041499,0.7612,0.3817452357071214,2017_to_2018
Autoencoder,0.02,450,0.0,0.0,0.0,2017_to_2018
Isolation_Forest,0.05,1125,0.04388581167447806,0.0412,0.042500515782958534,2017_to_2018
One_Class_SVM,0.05,1125,0.1359330248953514,0.2468,0.17530899275465264,2017_to_2018
Local_Outlier_Factor,0.05,1125,0.2541554959785523,0.7584,0.38072289156626504,2017_to_2018
Autoencoder,0.05,1125,0.07673368896183833,0.0748,0.07575450678549726,2017_to_2018
Isolation_Forest,0.1,2250,0.04364406779661017,0.0412,0.04238683127572016,2017_to_2018
One_Class_SVM,0.1,2250,0.14128692466223952,0.2468,0.1797000145623999,2017_to_2018
Local_Outlier_Factor,0.1,2250,0.2890828357066299,0.7552,0.41811538035654966,2017_to_2018
Autoencoder,0.1,2250,0.04377390565235869,0.0412,0.042447970327632395,2017_to_2018
Isolation_Forest,0.0,0,0.28280798693959563,0.9008,0.43046927267514096,unsw_to_2017
One_Class_SVM,0.0,0,0.1,1.0,0.18181818181818182,unsw_to_2017
Local_Outlier_Factor,0.0,0,0.20476858345021037,0.3504,0.2584833284154618,unsw_to_2017
Autoencoder,0.0,0,0.4682108248640983,0.7924,0.5886198187490714,unsw_to_2017
Isolation_Forest,0.01,225,0.09981233360974119,0.9148,0.17998662102073743,unsw_to_2017
One_Class_SVM,0.01,225,0.13926236585666707,0.9032,0.24131666132307364,unsw_to_2017
Local_Outlier_Factor,0.01,225,0.00468384074941452,0.0016,0.002385211687537269,unsw_to_2017
Autoencoder,0.01,225,0.460431654676259,0.768,0.5757121439280359,unsw_to_2017
Isolation_Forest,0.02,450,0.0960267670430782,0.9184,0.17387353275274517,unsw_to_2017
One_Class_SVM,0.02,450,0.17203967761934283,0.888,0.288236821604778,unsw_to_2017
Local_Outlier_Factor,0.02,450,0.004889975550122249,0.0016,0.0024110910186859553,unsw_to_2017
Autoencoder,0.02,450,0.46732954545454547,0.7896,0.5871505056513979,unsw_to_2017
Isolation_Forest,0.05,1125,0.096285702267278,0.9156,0.1742473261523237,unsw_to_2017
One_Class_SVM,0.05,1125,0.19025171217646536,0.8556,0.3112857454704213,unsw_to_2017
Local_Outlier_Factor,0.05,1125,0.023255813953488372,0.0016,0.0029940119760479044,unsw_to_2017
Autoencoder,0.05,1125,0.46732954545454547,0.7896,0.5871505056513979,unsw_to_2017
Isolation_Forest,0.1,2250,0.12747780445586018,0.9132,0.22372482728208143,unsw_to_2017
One_Class_SVM,0.1,2250,0.21859270672829995,0.8512,0.3478545157335513,unsw_to_2017
Local_Outlier_Factor,0.1,2250,0.045454545454545456,0.0016,0.0030911901081916537,unsw_to_2017
Autoencoder,0.1,2250,0.4684620836286322,0.7932,0.5890390613396703,unsw_to_2017
Isolation_Forest,0.0,0,0.024963289280469897,0.0748,0.03743369032128916,unsw_to_2018
One_Class_SVM,0.0,0,0.1,1.0,0.18181818181818182,unsw_to_2018
Local_Outlier_Factor,0.0,0,0.2356897091022834,0.6028,0.3388801439172476,unsw_to_2018
Autoencoder,0.0,0,0.0,0.0,0.0,unsw_to_2018
Isolation_Forest,0.01,225,0.11026366299626225,0.8732,0.19580231410888868,unsw_to_2018
One_Class_SVM,0.01,225,0.029438443143399027,0.1428,0.048813837423942026,unsw_to_2018
Local_Outlier_Factor,0.01,225,0.004784688995215311,0.0004,0.0007382798080472499,unsw_to_2018
Autoencoder,0.01,225,0.0,0.0,0.0,unsw_to_2018
Isolation_Forest,0.02,450,0.11150276637515617,0.9996,0.200626204238921,unsw_to_2018
One_Class_SVM,0.02,450,0.022379578634496022,0.1024,0.03673147284597173,unsw_to_2018
Local_Outlier_Factor,0.02,450,0.005263157894736842,0.0004,0.0007434944237918215,unsw_to_2018
Autoencoder,0.02,450,0.0,0.0,0.0,unsw_to_2018
Isolation_Forest,0.05,1125,0.0934533183352081,0.8308,0.16800808897876643,unsw_to_2018
One_Class_SVM,0.05,1125,0.010594527874922856,0.0412,0.016854851906398297,unsw_to_2018
Local_Outlier_Factor,0.05,1125,0.006134969325153374,0.0004,0.0007510326699211416,unsw_to_2018
Autoencoder,0.05,1125,0.0,0.0,0.0,unsw_to_2018
Isolation_Forest,0.1,2250,0.03237194431492706,0.1944,0.05550162736253069,unsw_to_2018
One_Class_SVM,0.1,2250,0.015594246782740349,0.0412,0.022624931356397582,unsw_to_2018
Local_Outlier_Factor,0.1,2250,0.011235955056179775,0.0004,0.000772499034376207,unsw_to_2018
Autoencoder,0.1,2250,0.0,0.0,0.0,unsw_to_2018
