Model,Fraction,N_Target_Benign,Precision,Recall,F1
Isolation_Forest,0.0,0,0.28280798693959563,0.9008,0.43046927267514096
One_Class_SVM,0.0,0,0.1,1.0,0.18181818181818182
Local_Outlier_Factor,0.0,0,0.20476858345021037,0.3504,0.2584833284154618
Autoencoder,0.0,0,0.4682108248640983,0.7924,0.5886198187490714
Isolation_Forest,0.01,225,0.09981233360974119,0.9148,0.17998662102073743
One_Class_SVM,0.01,225,0.13926236585666707,0.9032,0.24131666132307364
Local_Outlier_Factor,0.01,225,0.00468384074941452,0.0016,0.002385211687537269
Autoencoder,0.01,225,0.460431654676259,0.768,0.5757121439280359
Isolation_Forest,0.02,450,0.0960267670430782,0.9184,0.17387353275274517
One_Class_SVM,0.02,450,0.17203967761934283,0.888,0.288236821604778
Local_Outlier_Factor,0.02,450,0.004889975550122249,0.0016,0.0024110910186859553
Autoencoder,0.02,450,0.46732954545454547,0.7896,0.5871505056513979
Isolation_Forest,0.05,1125,0.096285702267278,0.9156,0.1742473261523237
One_Class_SVM,0.05,1125,0.19025171217646536,0.8556,0.3112857454704213
Local_Outlier_Factor,0.05,1125,0.023255813953488372,0.0016,0.0029940119760479044
Autoencoder,0.05,1125,0.46732954545454547,0.7896,0.5871505056513979
Isolation_Forest,0.1,2250,0.12747780445586018,0.9132,0.22372482728208143
One_Class_SVM,0.1,2250,0.21859270672829995,0.8512,0.3478545157335513
Local_Outlier_Factor,0.1,2250,0.045454545454545456,0.0016,0.0030911901081916537
Autoencoder,0.1,2250,0.4684620836286322,0.7932,0.5890390613396703
