Fraction,N_Calib,Weight_IF,Weight_OCSVM,Weight_LOF,Weight_AE,Threshold_Percentile,Precision,Recall,F1,Direction
0.01,250,0.25,0.25,0.25,0.25,60,0.26221498371335505,0.966,0.41246797608881297,2017_to_2018
0.02,500,0.25,0.25,0.25,0.25,60,0.2566073496893756,0.9748,0.40626823372509796,2017_to_2018
0.05,1250,0.2,0.4,0.2,0.2,60,0.25209998987956683,0.9964,0.4023907600355383,2017_to_2018
0.1,2500,0.25,0.25,0.25,0.25,60,0.25256111167461204,0.996,0.40294522210534833,2017_to_2018
0.01,250,0.25,0.25,0.25,0.25,90,0.8210065645514223,0.7504,0.7841170323928944,unsw_to_2017
0.02,500,0.25,0.25,0.25,0.25,90,0.6909492273730684,0.7512,0.7198160214641626,unsw_to_2017
0.05,1250,0.25,0.25,0.25,0.25,90,0.7513015618742491,0.7504,0.7508505103061837,unsw_to_2017
0.1,2500,0.25,0.25,0.25,0.25,90,0.7371316306483301,0.7504,0.7437066402378593,unsw_to_2017
0.01,250,0.5,0.5,0.0,0.0,50,0.19528560077690474,0.8848,0.31995371374846315,unsw_to_2018
0.02,500,0.5,0.5,0.0,0.0,50,0.20668349142807416,0.95,0.339503966835823,unsw_to_2018
0.05,1250,0.5,0.5,0.0,0.0,50,0.20668349142807416,0.95,0.339503966835823,unsw_to_2018
0.1,2500,0.5,0.5,0.0,0.0,50,0.19919268473515117,0.9672,0.3303504337727987,unsw_to_2018
