Model,Fraction,N_Calib,Best_Config,Precision,Recall,F1
Isolation_Forest,0.01,250,0.25,0.2895992366412214,0.7284,0.4144287664997724
One_Class_SVM,0.01,250,0.3,0.12722298221614228,0.372,0.18960244648318042
Local_Outlier_Factor,0.01,250,0.1,0.1663316143693733,0.7612,0.2730076752026397
Autoencoder,0.01,250,percentile60,0.19057469196870222,0.8476,0.3111829062339379
Isolation_Forest,0.02,500,0.25,0.2895992366412214,0.7284,0.4144287664997724
One_Class_SVM,0.02,500,0.3,0.12722298221614228,0.372,0.18960244648318042
Local_Outlier_Factor,0.02,500,0.1,0.1663316143693733,0.7612,0.2730076752026397
Autoencoder,0.02,500,percentile60,0.19057469196870222,0.8476,0.3111829062339379
Isolation_Forest,0.05,1250,0.3,0.28814528814528817,0.806,0.4245233329821974
One_Class_SVM,0.05,1250,0.3,0.12722298221614228,0.372,0.18960244648318042
Local_Outlier_Factor,0.05,1250,0.1,0.1663316143693733,0.7612,0.2730076752026397
Autoencoder,0.05,1250,percentile60,0.19057469196870222,0.8476,0.3111829062339379
Isolation_Forest,0.1,2500,0.3,0.28814528814528817,0.806,0.4245233329821974
One_Class_SVM,0.1,2500,0.3,0.12722298221614228,0.372,0.18960244648318042
Local_Outlier_Factor,0.1,2500,0.1,0.1663316143693733,0.7612,0.2730076752026397
Autoencoder,0.1,2500,percentile70,0.22226062910473557,0.7716,0.3451113695321585
