Model,Fraction,N_Calib,Best_Config,Precision,Recall,F1,Direction
Isolation_Forest,0.01,250,0.25,0.2895992366412214,0.7284,0.4144287664997724,2017_to_2018
One_Class_SVM,0.01,250,0.3,0.12722298221614228,0.372,0.18960244648318042,2017_to_2018
Local_Outlier_Factor,0.01,250,0.1,0.1663316143693733,0.7612,0.2730076752026397,2017_to_2018
Autoencoder,0.01,250,percentile60,0.19057469196870222,0.8476,0.3111829062339379,2017_to_2018
Isolation_Forest,0.02,500,0.25,0.2895992366412214,0.7284,0.4144287664997724,2017_to_2018
One_Class_SVM,0.02,500,0.3,0.12722298221614228,0.372,0.18960244648318042,2017_to_2018
Local_Outlier_Factor,0.02,500,0.1,0.1663316143693733,0.7612,0.2730076752026397,2017_to_2018
Autoencoder,0.02,500,percentile60,0.19057469196870222,0.8476,0.3111829062339379,2017_to_2018
Isolation_Forest,0.05,1250,0.3,0.28814528814528817,0.806,0.4245233329821974,2017_to_2018
One_Class_SVM,0.05,1250,0.3,0.12722298221614228,0.372,0.18960244648318042,2017_to_2018
Local_Outlier_Factor,0.05,1250,0.1,0.1663316143693733,0.7612,0.2730076752026397,2017_to_2018
Autoencoder,0.05,1250,percentile60,0.19057469196870222,0.8476,0.3111829062339379,2017_to_2018
Isolation_Forest,0.1,2500,0.3,0.28814528814528817,0.806,0.4245233329821974,2017_to_2018
One_Class_SVM,0.1,2500,0.3,0.12722298221614228,0.372,0.18960244648318042,2017_to_2018
Local_Outlier_Factor,0.1,2500,0.1,0.1663316143693733,0.7612,0.2730076752026397,2017_to_2018
Autoencoder,0.1,2500,percentile70,0.22226062910473557,0.7716,0.3451113695321585,2017_to_2018
Isolation_Forest,0.01,250,0.01,0.551909307875895,0.74,0.6322624743677375,unsw_to_2017
One_Class_SVM,0.01,250,0.01,0.1,1.0,0.18181818181818182,unsw_to_2017
Local_Outlier_Factor,0.01,250,0.01,0.20476858345021037,0.3504,0.2584833284154618,unsw_to_2017
Autoencoder,0.01,250,mean_4std,0.8446691176470589,0.7352,0.786142001710864,unsw_to_2017
Isolation_Forest,0.02,500,0.01,0.551909307875895,0.74,0.6322624743677375,unsw_to_2017
One_Class_SVM,0.02,500,0.01,0.1,1.0,0.18181818181818182,unsw_to_2017
Local_Outlier_Factor,0.02,500,0.01,0.20476858345021037,0.3504,0.2584833284154618,unsw_to_2017
Autoencoder,0.02,500,mean_4std,0.8446691176470589,0.7352,0.786142001710864,unsw_to_2017
Isolation_Forest,0.05,1250,0.01,0.551909307875895,0.74,0.6322624743677375,unsw_to_2017
One_Class_SVM,0.05,1250,0.01,0.1,1.0,0.18181818181818182,unsw_to_2017
Local_Outlier_Factor,0.05,1250,0.01,0.20476858345021037,0.3504,0.2584833284154618,unsw_to_2017
Autoencoder,0.05,1250,mean_3std,0.8137721957557384,0.7516,0.7814514452069037,unsw_to_2017
Isolation_Forest,0.1,2500,0.01,0.551909307875895,0.74,0.6322624743677375,unsw_to_2017
One_Class_SVM,0.1,2500,0.01,0.1,1.0,0.18181818181818182,unsw_to_2017
Local_Outlier_Factor,0.1,2500,0.01,0.20476858345021037,0.3504,0.2584833284154618,unsw_to_2017
Autoencoder,0.1,2500,mean_3std,0.8137721957557384,0.7516,0.7814514452069037,unsw_to_2017
Isolation_Forest,0.01,250,0.25,0.19015370567645715,0.9996,0.31952435749904107,unsw_to_2018
One_Class_SVM,0.01,250,0.01,0.1,1.0,0.18181818181818182,unsw_to_2018
Local_Outlier_Factor,0.01,250,0.01,0.2356897091022834,0.6028,0.3388801439172476,unsw_to_2018
Autoencoder,0.01,250,percentile50,0.10792165569740703,0.5444,0.1801336774535107,unsw_to_2018
Isolation_Forest,0.02,500,0.25,0.19015370567645715,0.9996,0.31952435749904107,unsw_to_2018
One_Class_SVM,0.02,500,0.01,0.1,1.0,0.18181818181818182,unsw_to_2018
Local_Outlier_Factor,0.02,500,0.01,0.2356897091022834,0.6028,0.3388801439172476,unsw_to_2018
Autoencoder,0.02,500,percentile50,0.10792165569740703,0.5444,0.1801336774535107,unsw_to_2018
Isolation_Forest,0.05,1250,0.2,0.1899092970521542,0.804,0.30724549067563434,unsw_to_2018
One_Class_SVM,0.05,1250,0.01,0.1,1.0,0.18181818181818182,unsw_to_2018
Local_Outlier_Factor,0.05,1250,0.01,0.2356897091022834,0.6028,0.3388801439172476,unsw_to_2018
Autoencoder,0.05,1250,percentile50,0.10792165569740703,0.5444,0.1801336774535107,unsw_to_2018
Isolation_Forest,0.1,2500,0.2,0.1899092970521542,0.804,0.30724549067563434,unsw_to_2018
One_Class_SVM,0.1,2500,0.01,0.1,1.0,0.18181818181818182,unsw_to_2018
Local_Outlier_Factor,0.1,2500,0.01,0.2356897091022834,0.6028,0.3388801439172476,unsw_to_2018
Autoencoder,0.1,2500,percentile50,0.10792165569740703,0.5444,0.1801336774535107,unsw_to_2018
