Model,Fraction,N_Calib,Best_Config,Precision,Recall,F1
Isolation_Forest,0.01,250,0.01,0.551909307875895,0.74,0.6322624743677375
One_Class_SVM,0.01,250,0.01,0.1,1.0,0.18181818181818182
Local_Outlier_Factor,0.01,250,0.01,0.20476858345021037,0.3504,0.2584833284154618
Autoencoder,0.01,250,mean_4std,0.8446691176470589,0.7352,0.786142001710864
Isolation_Forest,0.02,500,0.01,0.551909307875895,0.74,0.6322624743677375
One_Class_SVM,0.02,500,0.01,0.1,1.0,0.18181818181818182
Local_Outlier_Factor,0.02,500,0.01,0.20476858345021037,0.3504,0.2584833284154618
Autoencoder,0.02,500,mean_4std,0.8446691176470589,0.7352,0.786142001710864
Isolation_Forest,0.05,1250,0.01,0.551909307875895,0.74,0.6322624743677375
One_Class_SVM,0.05,1250,0.01,0.1,1.0,0.18181818181818182
Local_Outlier_Factor,0.05,1250,0.01,0.20476858345021037,0.3504,0.2584833284154618
Autoencoder,0.05,1250,mean_3std,0.8137721957557384,0.7516,0.7814514452069037
Isolation_Forest,0.1,2500,0.01,0.551909307875895,0.74,0.6322624743677375
One_Class_SVM,0.1,2500,0.01,0.1,1.0,0.18181818181818182
Local_Outlier_Factor,0.1,2500,0.01,0.20476858345021037,0.3504,0.2584833284154618
Autoencoder,0.1,2500,mean_3std,0.8137721957557384,0.7516,0.7814514452069037
